Entity	Source	By-Statement
Ajay Kumar	NIE	alleging that modi has not fulfilled any of the announcements made for farmers before coming to power at the centre three years back, ajaykumar said because of the governments neglect, as many as 35 farmers are taking their lives every day.
Ajay Kumar	TOI	additional district magistrate ajaykumar said, we have already written to the insurance company to disburse the actual crop insurance money to the farmers.
Ajit Pawar	TOI	asserting that the interests of farmers will be protected, ajitpawar , who also holds finance portfolio, said, the state government will do nothing that will adversely affect farmers in maharashtra.
Ajit Pawar	IE	, ajitpawar had said in an insensitive comment at indapur near pune on saturday that set off a controversy in the state reeling under severe drought.
Ajit Pawar	IE	b'amid clamour for his resignation over the controversial remarks on drought,maharashtra deputy chief minister ajitpawar today said any decision on the issue would be taken only after consulting party legislators.
Akhilesh Yadav	IE	)asked if he was not ruling out the possibility of a post-poll alliance with anyone if needed, akhileshyadav said: i still want to say that the farmers, women and the youth have supported the samajwadi party.
Akhilesh Yadav	DecH	up chief minister akhileshyadav said here that his party would not support the gst bill without ascertaining if its passage would result in any financial loss to the state exchequer.
Akhilesh Yadav	DecH	asks akhileshlucknow, feb 26, 2017, pti: 21:03 isttaking on prime minister narendra modi over his poll promises, chief minister akhileshyadav today asked why he was waiting for the results of the uttar pradesh election to waive farmers' loans.
Akhilesh Yadav	NIE	attacking the centre over currency ban, akhileshyadav said it was not only that the people who suffered due to demonetisation, note ban had hit the countrys economy equally hard.
Akhilesh Yadav	NIE	agreeing to the fact that jan dhan accounts had been misused by high and mighty to convert their black money into white, akhileshyadav said even his government was against such corruption.
Akhilesh Yadav	NIE	i fail to understand it), said akhileshyadav while trying to bring home the point that the bjp had used demonetisation as a tool to befool people in the name of checking black money and curbing corruption.
Akhilesh Yadav	NIE	while announcing rs 2 lakh compensation for the families of demonetisation victims, chief minister akhileshyadav on wednesday said the government would give rs 5 lakh to the family members of the woman who immolated herself after allegedly failing to exchange scrapped currency notes in aligarh district.
Akhilesh Yadav	NIE	without mentioning the modi's speech at kushinagar, where he also criticised the sp government for not implementing centre's farmer welfare schemes, akhileshyadav said the modi government has failed to fulfill its promises for agra.
Akhilesh Yadav	NIE	chief minister akhileshyadav had announced financial assistance of rs 2 lakh for kin of economically backward families who die while waiting in queues at atms or banks.
Akhilesh Yadav	NIE	jo kataarein atm ke bahar lagi hai wo polling booth ke bahar lagegi (polling booths will see long queues like ones outside atms now, akhileshyadav told pti in an interview.
