Entity	Source	By-Statement
Ajay Kumar	Telegraph	Higher and technical education secretary PERSON said this at a news meet at PERSON today , and added that Jharkhand needed some 600 new colleges to improve its gross enrolment ratio ( GER ) of 8 .
Ajay Kumar	Telegraph	Higher and technical education secretary PERSON also asked for formal skill development training in PERSON kebab Mapthe great PERSON factory , a restaurant chain run via franchisees by Delhi-based Umak hospitality , is planning an extension .
Akhil Arora	HT	Providing state-of-the-art facilities free of cost to start-ups will give a jump-start to entrepreneurs of Rajasthan and enable them to prove their mettle to be leaders not just in India , but across the world , said PERSON , principal secretary of the State Department of information technology and communication .
Akhil Arora	TOI	The startups and entrepreneurs will be provided free space , Internet , and other infrastructure at the PERSON techno hub , said PERSON , principal secretary , Department of it and communication .
Akhil Arora	TOI	Weightage will be given to teams or individuals who have taken up startup ideas in the past and got to the prototype stage , said PERSON , principal secretary , DoIt & C .
Akhilesh Yadav	IE	On the issue of corruption , Akhileshyadav said it was a matter of concern to reduce corruption at all levels and if daily working is associated with latest technology , it could bring transparency .
Akhilesh Yadav	NIE	Earlier , Akhileshyadav said that Samajwadis had set a precedence of development in the state by constructing this 302-Km hi-tech expressway which would open new vistas of development in the state .
Akhilesh Yadav	NIE	Earlier , Akhileshyadav said that Samajwadis had set a precedence of development in the state by constructing this 302-Km hi-tech expressway which would open new vistas of development in the state .
Amarinder Singh	NIE	Arguing the state 's case further , Amarindersingh said with the establishment of tissue culture and Aeroponic technology at the centre of excellence for potato , at Dhogri in Jalandhar , the whole seed potato producing area in the state shall come under certified seed potato in the coming 4-5 years .
Amarinder Singh	NIE	Venting his ire over Kejriwal 's 'Audacity ' to call the picture scientific proof of his 'Demented logic ' , Amarindersingh said had the Delhi chief minister bothered to check the data , he would have thought a hundred times before coming out with such a reckless statement .
Amarinder Singh	HT	Chief minister PERSON has already announced his governments intent to Canalise all rivers of the state with technical support from the World Bank and Asian Development Bank to realign river streams and courses , besides strengthening and widening of Embankments for a permanent solution .
Anand Kishore	HT	Bseb chairman PERSON said the board was in the process to acquire a de-duplication software to screen such candidates and maintain closer scrutiny .
Ananta Narayan Jena	Telegraph	The sister city link that began in 2012 will go a long way in strengthening collaboration between the two cities , one of which has a rich knowledge and technology-based economy , while another has a golden treasure of ancient art , culture , heritage and unique architecture , said mayor Anantanarayanjena , defining Bhubaneswar 's transformation as a smart city in the recent past .
